"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1971","User login with wrong email or password","LMS system","Wed Apr 29 11:05:16 UTC 2026","passed","Wed Apr 29 11:05:18 UTC 2026","Authorization","Authentication","",""
"","1753","Check displaying of dashboard page","LMS system","Wed Apr 29 11:05:27 UTC 2026","passed","Wed Apr 29 11:05:29 UTC 2026","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","Wed Apr 29 11:05:29 UTC 2026","passed","Wed Apr 29 11:05:29 UTC 2026","TestUserAuthentication","test_markers","",""
"","3143","User login with correct email and password","LMS system","Wed Apr 29 11:05:18 UTC 2026","passed","Wed Apr 29 11:05:21 UTC 2026","Authorization","Authentication","",""
"","1678","User login with wrong email or password","LMS system","Wed Apr 29 11:05:18 UTC 2026","passed","Wed Apr 29 11:05:20 UTC 2026","Authorization","Authentication","",""
"","1","test_regression_case","tests.pytest","Wed Apr 29 11:05:29 UTC 2026","passed","Wed Apr 29 11:05:29 UTC 2026","","test_markers","",""
"","1565","Check displaying of empty courses list","LMS system","Wed Apr 29 11:05:21 UTC 2026","passed","Wed Apr 29 11:05:23 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Wed Apr 29 11:05:29 UTC 2026","passed","Wed Apr 29 11:05:29 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Wed Apr 29 11:05:31 UTC 2026","passed","Wed Apr 29 11:05:31 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Wed Apr 29 11:05:29 UTC 2026","passed","Wed Apr 29 11:05:29 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_logout","tests.pytest","Wed Apr 29 11:05:29 UTC 2026","passed","Wed Apr 29 11:05:29 UTC 2026","TestUserAuthentication","test_markers","",""
"","1534","Navigation from login page to registration page","LMS system","Wed Apr 29 11:05:22 UTC 2026","passed","Wed Apr 29 11:05:23 UTC 2026","Authorization","Authentication","",""
"","3093","Create course","LMS system","Wed Apr 29 11:05:23 UTC 2026","passed","Wed Apr 29 11:05:26 UTC 2026","Courses","Courses","",""
"","2105","User login with wrong email or password","LMS system","Wed Apr 29 11:05:16 UTC 2026","passed","Wed Apr 29 11:05:18 UTC 2026","Authorization","Authentication","",""
"","3462","Edit course","LMS system","Wed Apr 29 11:05:27 UTC 2026","passed","Wed Apr 29 11:05:31 UTC 2026","Courses","Courses","",""
"","1875","Registration with correct email, username and password","LMS system","Wed Apr 29 11:05:24 UTC 2026","passed","Wed Apr 29 11:05:25 UTC 2026","Registration","Authentication","",""
