"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1694","User login with wrong email or password","LMS system","Sat Apr 25 14:13:22 UTC 2026","passed","Sat Apr 25 14:13:24 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","TestUserAuthentication","test_markers","",""
"","1902","User login with wrong email or password","LMS system","Sat Apr 25 14:13:20 UTC 2026","passed","Sat Apr 25 14:13:22 UTC 2026","Authorization","Authentication","",""
"","1631","Navigation from login page to registration page","LMS system","Sat Apr 25 14:13:25 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","Edit course","LMS system","Sat Apr 25 14:13:26 UTC 2026","broken","Sat Apr 25 14:13:26 UTC 2026","Courses","Courses","",""
"","0","Create course","LMS system","Sat Apr 25 14:13:26 UTC 2026","broken","Sat Apr 25 14:13:26 UTC 2026","Courses","Courses","",""
"","3106","User login with correct email and password","LMS system","Sat Apr 25 14:13:22 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","Check displaying of empty courses list","LMS system","Sat Apr 25 14:13:26 UTC 2026","broken","Sat Apr 25 14:13:26 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","TestUserInterface","test_markers","",""
"","1615","Registration with correct email, username and password","LMS system","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:28 UTC 2026","Registration","Authentication","",""
"","1962","User login with wrong email or password","LMS system","Sat Apr 25 14:13:20 UTC 2026","passed","Sat Apr 25 14:13:22 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sat Apr 25 14:13:28 UTC 2026","broken","Sat Apr 25 14:13:28 UTC 2026","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","","test_markers","",""
"","1","test_regression_case","tests.pytest","Sat Apr 25 14:13:26 UTC 2026","passed","Sat Apr 25 14:13:26 UTC 2026","","test_markers","",""
