"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1602","Check displaying of empty courses list","LMS system","Sat Apr 25 14:17:42 UTC 2026","passed","Sat Apr 25 14:17:44 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Sat Apr 25 14:17:47 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","2043","User login with wrong email or password","LMS system","Sat Apr 25 14:17:35 UTC 2026","passed","Sat Apr 25 14:17:37 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Sat Apr 25 14:17:47 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","","test_markers","",""
"","3245","User login with correct email and password","LMS system","Sat Apr 25 14:17:37 UTC 2026","passed","Sat Apr 25 14:17:40 UTC 2026","Authorization","Authentication","",""
"","1613","User login with wrong email or password","LMS system","Sat Apr 25 14:17:37 UTC 2026","passed","Sat Apr 25 14:17:39 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Sat Apr 25 14:17:47 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","TestUserInterface","test_markers","",""
"","1971","User login with wrong email or password","LMS system","Sat Apr 25 14:17:35 UTC 2026","passed","Sat Apr 25 14:17:37 UTC 2026","Authorization","Authentication","",""
"","1770","Navigation from login page to registration page","LMS system","Sat Apr 25 14:17:39 UTC 2026","passed","Sat Apr 25 14:17:41 UTC 2026","Authorization","Authentication","",""
"","3938","Edit course","LMS system","Sat Apr 25 14:17:44 UTC 2026","passed","Sat Apr 25 14:17:48 UTC 2026","Courses","Courses","",""
"","3064","Create course","LMS system","Sat Apr 25 14:17:44 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Sat Apr 25 14:17:47 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","2038","Registration with correct email, username and password","LMS system","Sat Apr 25 14:17:41 UTC 2026","passed","Sat Apr 25 14:17:43 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Sat Apr 25 14:17:47 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","3033","Check displaying of dashboard page","LMS system","Sat Apr 25 14:17:49 UTC 2026","passed","Sat Apr 25 14:17:52 UTC 2026","Dashboard","Dashboard","",""
"","0","test_regression_case","tests.pytest","Sat Apr 25 14:17:47 UTC 2026","passed","Sat Apr 25 14:17:47 UTC 2026","","test_markers","",""
