"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_logout","tests.pytest","Wed Apr 29 10:12:01 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","Wed Apr 29 10:12:01 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","TestUserAuthentication","test_markers","",""
"","2045","User login with wrong email or password","LMS system","Wed Apr 29 10:11:48 UTC 2026","passed","Wed Apr 29 10:11:51 UTC 2026","Authorization","Authentication","",""
"","1639","Navigation from login page to registration page","LMS system","Wed Apr 29 10:11:53 UTC 2026","passed","Wed Apr 29 10:11:55 UTC 2026","Authorization","Authentication","",""
"","1574","Check displaying of dashboard page","LMS system","Wed Apr 29 10:12:02 UTC 2026","passed","Wed Apr 29 10:12:04 UTC 2026","Dashboard","Dashboard","",""
"","3659","Edit course","LMS system","Wed Apr 29 10:11:58 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","Courses","Courses","",""
"","2073","User login with wrong email or password","LMS system","Wed Apr 29 10:11:48 UTC 2026","passed","Wed Apr 29 10:11:51 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Wed Apr 29 10:12:01 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","","test_markers","",""
"","0","test_password_reset","tests.pytest","Wed Apr 29 10:12:01 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","TestUserAuthentication","test_markers","",""
"","2888","Create course","LMS system","Wed Apr 29 10:11:57 UTC 2026","passed","Wed Apr 29 10:12:00 UTC 2026","Courses","Courses","",""
"","2975","User login with correct email and password","LMS system","Wed Apr 29 10:11:51 UTC 2026","passed","Wed Apr 29 10:11:54 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Wed Apr 29 10:12:01 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","TestUserInterface","test_markers","",""
"","1724","Registration with correct email, username and password","LMS system","Wed Apr 29 10:11:55 UTC 2026","passed","Wed Apr 29 10:11:56 UTC 2026","Registration","Authentication","",""
"","0","test_regression_case","tests.pytest","Wed Apr 29 10:12:01 UTC 2026","passed","Wed Apr 29 10:12:01 UTC 2026","","test_markers","",""
"","1564","Check displaying of empty courses list","LMS system","Wed Apr 29 10:11:55 UTC 2026","passed","Wed Apr 29 10:11:57 UTC 2026","Courses","Courses","",""
"","1581","User login with wrong email or password","LMS system","Wed Apr 29 10:11:51 UTC 2026","passed","Wed Apr 29 10:11:52 UTC 2026","Authorization","Authentication","",""
